timestamp,cpu_percent,cpu_cores_active,ram_used_mb,ram_total_mb,ram_percent,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w,gpu_power_limit_w,gpu_clock_mhz,gpu_mem_clock_mhz
2026-03-13 17:31:36,8.7,32,12442,64242,19.4,34,2396,11264,51,83.88,260.00,1350,6800
2026-03-13 17:31:40,6.2,32,12439,64242,19.4,35,2387,11264,51,88.45,260.00,1350,6800
2026-03-13 17:31:43,5.3,32,12457,64242,19.4,36,2388,11264,52,88.02,260.00,1350,6800
2026-03-13 17:31:46,5.0,32,12449,64242,19.4,36,2384,11264,52,92.40,260.00,1470,6800
2026-03-13 17:31:49,3.8,32,12394,64242,19.3,39,2391,11264,54,113.88,260.00,1680,6800
2026-03-13 17:31:52,4.4,32,12344,64242,19.2,38,2391,11264,54,118.61,260.00,1725,6800
2026-03-13 17:31:55,3.4,32,12365,64242,19.2,37,2385,11264,55,133.51,260.00,1815,6800
2026-03-13 17:31:58,5.0,32,12399,64242,19.3,38,2385,11264,55,121.03,260.00,1740,6800
2026-03-13 17:32:01,3.8,32,12389,64242,19.3,38,2385,11264,56,127.95,260.00,1815,6800
2026-03-13 17:32:05,4.7,32,12379,64242,19.3,38,2386,11264,57,140.53,260.00,1845,6800
2026-03-13 17:32:08,3.4,32,12383,64242,19.3,37,2385,11264,57,135.21,260.00,1830,6800
2026-03-13 17:32:11,5.3,32,12364,64242,19.2,38,2385,11264,57,118.13,260.00,1710,6800
2026-03-13 17:32:14,4.7,32,12375,64242,19.3,38,2387,11264,57,121.39,260.00,1755,6800
2026-03-13 17:32:17,6.2,32,12373,64242,19.3,38,2394,11264,57,115.92,260.00,1680,6800
2026-03-13 17:32:20,3.8,32,12382,64242,19.3,40,2391,11264,57,116.20,260.00,1680,6800
2026-03-13 17:32:23,4.7,32,12363,64242,19.2,38,2386,11264,58,129.78,260.00,1770,6800
2026-03-13 17:32:26,4.1,32,12377,64242,19.3,38,2385,11264,59,147.79,260.00,1905,6800
2026-03-13 17:32:30,4.7,32,12362,64242,19.2,36,2386,11264,60,134.85,260.00,1815,6800
2026-03-13 17:32:33,3.7,32,12380,64242,19.3,38,2386,11264,59,118.16,260.00,1695,6800
2026-03-13 17:32:36,4.1,32,12375,64242,19.3,39,2385,11264,59,113.41,260.00,1665,6800
